"countries","value"
"Denmark","11.62% [0.47%-22.62%]"
"Italy","43.98% [2.09%-71.10%]"
"Germany","12.05% [0.43%-24.72%]"
"Spain","59.33% [2.98%-87.00%]"
"United_Kingdom","44.09% [2.33%-71.23%]"
"France","43.44% [1.99%-69.71%]"
"Norway","6.12% [0.21%-12.42%]"
"Belgium","70.29% [6.54%-91.51%]"
"Austria","10.09% [0.38%-19.55%]"
"Sweden","61.38% [4.76%-90.31%]"
"Switzerland","22.81% [0.93%-41.22%]"
"Greece","1.29% [0.05%-2.37%]"
"Portugal","12.22% [0.49%-23.20%]"
"Netherlands","38.25% [1.71%-66.12%]"
